,u,v,khopnode,repeat,distance
28766,7,62,3,388,0.42666065413243565
28767,5,47,3,388,0.42666065413243565
28768,3,351,3,388,0.42666065413243565
28769,34,129,3,388,0.42666065413243565
28770,3,157,3,388,0.42666065413243565
28771,91,330,3,388,0.42666065413243565
28772,3,155,3,388,0.42666065413243565
28773,3,87,3,388,0.42666065413243565
28774,3,10,3,388,0.42666065413243565
28775,1,3,3,388,0.42666065413243565
28776,3,5,3,388,0.42666065413243565
28777,67,77,3,388,0.42666065413243565
28778,3,29,3,388,0.42666065413243565
28779,3,254,3,388,0.42666065413243565
28780,3,78,3,388,0.42666065413243565
28781,3,180,3,388,0.42666065413243565
28782,0,7,3,388,0.42666065413243565
28783,5,35,3,388,0.42666065413243565
28784,3,7,3,388,0.42666065413243565
28785,3,480,3,388,0.42666065413243565
28786,3,354,1,389,0.48446668038312957
28787,4,93,1,389,0.48446668038312957
28788,12,113,1,389,0.48446668038312957
28789,1,81,1,389,0.48446668038312957
28790,4,29,1,389,0.48446668038312957
28791,1,13,1,389,0.48446668038312957
28792,1,227,1,389,0.48446668038312957
28793,143,281,1,389,0.48446668038312957
28794,1,255,1,389,0.48446668038312957
28795,5,24,1,389,0.48446668038312957
28796,1,23,1,389,0.48446668038312957
28797,11,43,1,389,0.48446668038312957
28798,4,11,1,389,0.48446668038312957
28799,1,293,1,389,0.48446668038312957
28800,11,219,1,389,0.48446668038312957
28801,1,143,1,389,0.48446668038312957
28802,11,173,1,389,0.48446668038312957
28803,1,4,1,389,0.48446668038312957
28804,1,37,1,389,0.48446668038312957
28805,1,93,1,389,0.48446668038312957
28806,1,219,1,389,0.48446668038312957
28807,12,93,1,389,0.48446668038312957
